chrom	total_snps	ts	tv	ti_tv
1	298458	200203	98255	2.037586
2	300188	200369	99819	2.007323
3	263965	175206	88759	1.973952
4	280405	185277	95128	1.947660
5	239659	159124	80535	1.975837
6	242928	163949	78979	2.075856
7	218734	146646	72088	2.034264
8	204924	133554	71370	1.871290
9	168357	111100	57257	1.940374
10	202029	135787	66242	2.049863
11	190200	126147	64053	1.969416
12	182369	123031	59338	2.073393
13	148755	98997	49758	1.989570
14	122934	82922	40012	2.072428
15	115684	77423	38261	2.023549
16	114775	74551	40224	1.853396
17	106211	72917	33294	2.190094
18	109703	73457	36246	2.026624
19	86677	59489	27188	2.188061
20	96125	63999	32126	1.992125
21	62207	41040	21167	1.938867
22	59343	40425	18918	2.136854
X	89273	58828	30445	1.932271
Y	4465	2381	2084	1.142514
MT	0	0	0	NA
